RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-572679	-805052	45.05	 -67.05	450300	-670300	FK59	NL19-09	T	ISL		CA	04				V				NAVYISLAND	Navy Island	Navy Island	1993-12-14
1	-569994	-805051	44.6966667	 -63.6183333	444148	-633706	MQ54	NL20-11	T	ISL		CA	07				N				NAVYISLAND	Navy Island	Navy Island	1994-05-19
1	14956	17937	44.6955556	 -63.6083333	444144	-633630	MQ54	NL20-11	H	COVE 		CA	07				N				NAVYISLANDCOVE	Navy Island Cove	Navy Island Cove	1994-05-19
1	-569995	-805053	56.3333333	-103.8333333	562000	-1035000	EC74	NO13-12	H	LK		CA	11				N				NAYELLESLAKE	Nayelles Lake	Nayelles Lake	1993-12-14
1	-575808	-805054	53.3166667	-122.9	531900	-1225400	EE00	NN10-08	H	STM		CA	02				V				NAZKHOH	Nazkhoh	Nazkhoh	1993-12-14
1	-569996	-805055	53.0	-123.6166667	530000	-1233700	DD57	NN10-08	P	PPL		CA	02				N				NAZKO	Nazko	Nazko	1993-12-14
1	-569997	-805056	53.1333333	-123.5833333	530800	-1233500	DD68	NN10-08	H	STM		CA	02				N		Nazko		NAZKORIVER	Nazko River	Nazko River	1993-12-14
1	-569998	-805057	67.3833333	-133.4166667	672300	-1332500	NV67	NQ07-04	H	LK		CA	00				N				NAZONLAKE	Nazon Lake	Nazon Lake	1993-12-14
1	-569999	-805058	60.5166667	 -77.6666667	603100	-774000	UN51	NP17-15	H	BAY		CA	10				N				NEAKONGUTBAY	Neakongut Bay	Neakongut Bay	1993-12-14
1	-570000	-805059	59.5166667	 -77.0	593100	-770000	UL89	NO18-01	H	LK		CA	10				N				NEAKUNGUAKLAKE	Neakunguak Lake	Neakunguak Lake	1993-12-14
1	-570028	-805060	46.8	 -60.3333333	464800	-602000	QS08	NL20-06	H	COVE 		CA	07				V				NEAL	Neal	Neal	1993-12-14
1	-570001	-805061	75.3333333	 -97.7166667	752000	-974300	NJ36	NS13-03	T	ISLS 		CA	14				N				NEALISLANDS	Neal Islands	Neal Islands	1993-12-14
1	-570028	-805062	46.8	 -60.3333333	464800	-602000	QS08	NL20-06	H	COVE 		CA	07				V				NEALS	Neals	Neals	1993-12-14
1	-570002	-805063	52.45	 -89.8333333	522700	-895000	CD01	NN16-10	H	LK		CA	08				N				NEAWAGANKLAKE	Neawagank Lake	Neawagank Lake	1993-12-14
1	-570003	-805064	81.0166667	 -79.05	810100	-790300	NK39	NU13-12	T	MT		CA	14				N				NEBEL MOUNT	Mount Nebel	Mount Nebel	1993-12-14
